User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
root,ASIAUOLMHZTBVBHUJM3W,"May 24, 2020, 13:20 (UTC+01:00)",iam.amazonaws.com,CreateUser,us-east-1,84.203.14.124,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAUOLMHZTB6PAOENNR3""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::305706552515:user/Accountant""}]",481440b5-c72a-4c3b-b00c-9e7cb48b3266,a4c14717-83e3-4ff5-834e-d21ff5b2bc21,,AwsApiCall,305706552515,
root,ASIAUOLMHZTBVBHUJM3W,"May 24, 2020, 13:20 (UTC+01:00)",iam.amazonaws.com,AddUserToGroup,us-east-1,84.203.14.124,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",ef7cf27d-ce34-4070-926e-6b3d54a32a75,bd496daf-6321-4252-8d7c-c04840024c4c,,AwsApiCall,305706552515,
root,ASIAUOLMHZTBVBHUJM3W,"May 24, 2020, 13:20 (UTC+01:00)",iam.amazonaws.com,CreateLoginProfile,us-east-1,84.203.14.124,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",b561c2a0-f967-40c4-902a-e1c3a1b02ba3,0cecde15-8c93-438b-8f02-295ed5f3f7a6,,AwsApiCall,305706552515,
root,ASIAUOLMHZTBVBHUJM3W,"May 24, 2020, 13:20 (UTC+01:00)",iam.amazonaws.com,CreateUser,us-east-1,84.203.14.124,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAUOLMHZTBQTMLA7ZDH""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::305706552515:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",3e266da1-a5c1-4b91-998d-b91e10ab5fad,8b8c77c3-8cc3-48da-95e7-d398a3c2565f,,AwsApiCall,305706552515,
root,ASIAUOLMHZTBVBHUJM3W,"May 24, 2020, 13:20 (UTC+01:00)",iam.amazonaws.com,AddUserToGroup,us-east-1,84.203.14.124,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",63c24ce2-1c49-48d1-abc8-d153087aff59,ce8d1b3a-ca07-4168-bcf7-bf2f133dfe55,,AwsApiCall,305706552515,
root,ASIAUOLMHZTBVBHUJM3W,"May 24, 2020, 13:18 (UTC+01:00)",iam.amazonaws.com,AttachGroupPolicy,us-east-1,84.203.14.124,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",9adf6f36-4321-49b7-ad9a-f954f92d562a,0d8b6eaa-d071-47da-a765-a7bdee056ca7,,AwsApiCall,305706552515,
root,ASIAUOLMHZTBVBHUJM3W,"May 24, 2020, 13:18 (UTC+01:00)",iam.amazonaws.com,CreateGroup,us-east-1,84.203.14.124,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::305706552515:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAUOLMHZTB5B5ABBWYL""}]",36932eed-26ca-4468-afc2-301bc440e7e3,e452df49-8a5e-456a-873e-592d39c630cd,,AwsApiCall,305706552515,
root,ASIAUOLMHZTBVBHUJM3W,"May 24, 2020, 13:18 (UTC+01:00)",iam.amazonaws.com,AttachGroupPolicy,us-east-1,84.203.14.124,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",f7966fc1-9e79-444c-926f-559cfac5454b,4ffa0d6e-484d-4bf9-850b-f36990389f72,,AwsApiCall,305706552515,
root,ASIAUOLMHZTBVBHUJM3W,"May 24, 2020, 13:18 (UTC+01:00)",iam.amazonaws.com,AttachGroupPolicy,us-east-1,84.203.14.124,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",461c6619-22eb-4b04-a1dd-3866625a1713,e04e00f9-fe56-40e7-9f41-11ea1df03769,,AwsApiCall,305706552515,
root,ASIAUOLMHZTBVBHUJM3W,"May 24, 2020, 13:18 (UTC+01:00)",iam.amazonaws.com,CreateGroup,us-east-1,84.203.14.124,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::305706552515:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAUOLMHZTBQG5E24I46""}]",f25620a1-e009-4761-b8b6-6485ad2ef8f9,e93e5c9e-4f66-4247-ae28-08b1fbebeb13,,AwsApiCall,305706552515,
root,ASIAUOLMHZTBVBHUJM3W,"May 24, 2020, 13:16 (UTC+01:00)",iam.amazonaws.com,UpdateAccountPasswordPolicy,us-east-1,84.203.14.124,console.amazonaws.com,,[],3832367e-80ab-4f9d-96ed-e8d39851cf3d,7f4374e9-e8cf-40f6-b9c3-b8c37d63e1d7,,AwsApiCall,305706552515,
